date,symbol,close_price
03/14/2024,BTC,"71,387.50"
03/13/2024,BTC,"73,066.30"
3/12/2024,BTC,"71,470.20"
3/11/2024,BTC,"72,099.10"
3/10/2024,BTC,"68,964.80"
3/9/2024,BTC,"68,366.50"
3/8/2024,BTC,"68,172.00"
3/7/2024,BTC,"66,855.30"
3/6/2024,BTC,"66,080.40"
3/5/2024,BTC,"63,792.60"
3/4/2024,BTC,"68,270.10"
3/3/2024,BTC,"63,135.80"
3/2/2024,BTC,"61,994.50"
3/1/2024,BTC,"62,397.70"
02/29/2024,BTC,"61,169.30"
02/28/2024,BTC,"62,467.60"
02/27/2024,BTC,"57,056.20"
02/26/2024,BTC,"54,495.10"
02/25/2024,BTC,"51,722.70"
02/24/2024,BTC,"51,571.60"
02/23/2024,BTC,"50,740.50"
02/22/2024,BTC,"51,320.40"
02/21/2024,BTC,"51,858.20"
02/20/2024,BTC,"52,263.50"
02/19/2024,BTC,"51,783.60"
02/18/2024,BTC,"52,117.50"
02/17/2024,BTC,"51,646.00"
02/16/2024,BTC,"52,134.20"
02/15/2024,BTC,"51,901.30"
02/14/2024,BTC,"51,782.40"
02/13/2024,BTC,"49,716.00"
2/12/2024,BTC,"49,941.30"
2/11/2024,BTC,"48,277.30"
2/10/2024,BTC,"47,758.20"
2/9/2024,BTC,"47,127.50"
2/8/2024,BTC,"45,293.30"
2/7/2024,BTC,"44,339.80"
2/6/2024,BTC,"43,087.70"
2/5/2024,BTC,"42,697.20"
2/4/2024,BTC,"42,581.40"
2/3/2024,BTC,"43,005.70"
2/2/2024,BTC,"43,194.70"
2/1/2024,BTC,"43,081.40"
01/31/2024,BTC,"42,580.50"
01/30/2024,BTC,"42,946.20"
01/29/2024,BTC,"43,299.80"
01/28/2024,BTC,"42,030.70"
01/27/2024,BTC,"42,120.90"
01/26/2024,BTC,"41,811.30"
01/25/2024,BTC,"39,935.70"
01/24/2024,BTC,"40,086.00"
01/23/2024,BTC,"39,888.80"
01/22/2024,BTC,"39,556.40"
01/21/2024,BTC,"41,583.20"
01/20/2024,BTC,"41,695.40"
01/19/2024,BTC,"41,648.00"
01/18/2024,BTC,"41,292.70"
01/17/2024,BTC,"42,768.70"
01/16/2024,BTC,"43,145.50"
01/15/2024,BTC,"42,510.70"
01/14/2024,BTC,"41,746.10"
01/13/2024,BTC,"42,851.30"
1/12/2024,BTC,"42,835.90"
1/11/2024,BTC,"46,348.20"
1/10/2024,BTC,"46,629.30"
1/9/2024,BTC,"46,129.00"
1/8/2024,BTC,"46,962.20"
1/7/2024,BTC,"43,927.30"
1/6/2024,BTC,"43,967.90"
1/5/2024,BTC,"44,156.90"
1/4/2024,BTC,"44,157.00"
1/3/2024,BTC,"42,836.10"
1/2/2024,BTC,"44,943.70"
1/1/2024,BTC,"44,183.40"
12/31/2023,BTC,"42,272.50"
12/30/2023,BTC,"42,136.70"
12/29/2023,BTC,"42,072.40"
12/28/2023,BTC,"42,581.10"
12/27/2023,BTC,"43,446.50"
12/26/2023,BTC,"42,513.30"
12/25/2023,BTC,"43,578.50"
12/24/2023,BTC,"42,981.50"
12/23/2023,BTC,"43,710.40"
12/22/2023,BTC,"43,968.90"
12/21/2023,BTC,"43,865.90"
12/20/2023,BTC,"43,662.80"
12/19/2023,BTC,"42,259.30"
12/18/2023,BTC,"42,659.70"
12/17/2023,BTC,"41,368.70"
12/16/2023,BTC,"42,271.70"
12/15/2023,BTC,"41,929.00"
12/14/2023,BTC,"43,025.90"
12/13/2023,BTC,"42,884.50"
12/12/2023,BTC,"41,487.00"
12/11/2023,BTC,"41,256.10"
12/10/2023,BTC,"43,791.00"
12/9/2023,BTC,"43,718.40"
12/8/2023,BTC,"44,175.50"
12/7/2023,BTC,"43,289.70"
12/6/2023,BTC,"43,776.30"
12/5/2023,BTC,"44,076.20"
12/4/2023,BTC,"41,987.80"
12/3/2023,BTC,"39,970.20"
12/2/2023,BTC,"39,458.40"
12/1/2023,BTC,"38,688.20"
11/30/2023,BTC,"37,712.90"
11/29/2023,BTC,"37,855.50"
11/28/2023,BTC,"37,823.30"
11/27/2023,BTC,"37,248.60"
11/26/2023,BTC,"37,451.80"
11/25/2023,BTC,"37,787.00"
11/24/2023,BTC,"37,717.30"
11/23/2023,BTC,"37,293.10"
11/22/2023,BTC,"37,410.80"
11/21/2023,BTC,"35,813.60"
11/20/2023,BTC,"37,454.10"
11/19/2023,BTC,"37,354.20"
11/18/2023,BTC,"36,568.60"
11/17/2023,BTC,"36,595.40"
11/16/2023,BTC,"36,161.20"
11/15/2023,BTC,"37,874.90"
11/14/2023,BTC,"35,549.30"
11/13/2023,BTC,"36,478.30"
11/12/2023,BTC,"37,064.40"
11/11/2023,BTC,"37,150.50"
11/10/2023,BTC,"37,303.00"
11/9/2023,BTC,"36,700.50"
11/8/2023,BTC,"35,636.90"
11/7/2023,BTC,"35,426.10"
11/6/2023,BTC,"35,042.00"
11/5/2023,BTC,"35,019.40"
11/4/2023,BTC,"35,065.80"
11/3/2023,BTC,"34,718.70"
11/2/2023,BTC,"34,931.40"
11/1/2023,BTC,"35,423.80"
10/31/2023,BTC,"34,650.60"
10/30/2023,BTC,"34,477.90"
10/29/2023,BTC,"34,526.70"
10/28/2023,BTC,"34,082.60"
10/27/2023,BTC,"33,901.80"
10/26/2023,BTC,"34,153.70"
10/25/2023,BTC,"34,496.80"
10/24/2023,BTC,"33,917.00"
10/23/2023,BTC,"33,041.80"
10/22/2023,BTC,"29,984.20"
10/21/2023,BTC,"29,912.90"
10/20/2023,BTC,"29,674.50"
10/19/2023,BTC,"28,723.00"
10/18/2023,BTC,"28,321.70"
10/17/2023,BTC,"28,403.60"
10/16/2023,BTC,"28,509.70"
10/15/2023,BTC,"27,161.20"
10/14/2023,BTC,"26,852.80"
10/13/2023,BTC,"26,863.50"
10/12/2023,BTC,"26,761.10"
10/11/2023,BTC,"26,876.60"
10/10/2023,BTC,"27,391.00"
10/9/2023,BTC,"27,581.40"
10/8/2023,BTC,"27,922.70"
10/7/2023,BTC,"27,961.10"
10/6/2023,BTC,"27,936.90"
10/5/2023,BTC,"27,410.30"
10/4/2023,BTC,"27,790.90"
10/3/2023,BTC,"27,428.40"
10/2/2023,BTC,"27,505.30"
10/1/2023,BTC,"27,974.50"
09/30/2023,BTC,"26,962.70"
09/29/2023,BTC,"26,909.80"
09/28/2023,BTC,"27,022.60"
09/27/2023,BTC,"26,366.10"
09/26/2023,BTC,"26,218.90"
09/25/2023,BTC,"26,302.70"
09/24/2023,BTC,"26,251.50"
09/23/2023,BTC,"26,579.20"
09/22/2023,BTC,"26,581.90"
09/21/2023,BTC,"26,570.00"
09/20/2023,BTC,"27,125.00"
09/19/2023,BTC,"27,209.20"
09/18/2023,BTC,"26,763.50"
09/17/2023,BTC,"26,529.10"
09/16/2023,BTC,"26,562.00"
09/15/2023,BTC,"26,601.00"
09/14/2023,BTC,"26,524.70"
09/13/2023,BTC,"26,223.00"
9/12/2023,BTC,"25,834.50"
9/11/2023,BTC,"25,166.40"
9/10/2023,BTC,"25,840.20"
9/9/2023,BTC,"25,901.10"
9/8/2023,BTC,"25,909.50"
9/7/2023,BTC,"26,249.80"
9/6/2023,BTC,"25,758.00"
