datee,symbol,close_price,,,,,,,
2021-10-04,XRP,1.0416,,,,,,,
2021-10-04,SOL,167.116,,,,,,,
2021-10-04,ETH,"3,382.90",,,,,,,
2021-10-04,BTC,"49,227.30",,,,,,,
2021-11-04,XRP,1.2015,,,,,,,
2021-11-04,SOL,247.144,,,,,,,
2021-11-04,ETH,"4,535.11",,,,,,,
2021-11-04,BTC,"61,412.60",,,,,,,
2021-12-04,XRP,0.847,,,,,,,
2021-12-04,SOL,201.088,,,,,,,
2021-12-04,ETH,"4,123.46",,,,,,,
2021-12-04,BTC,"49,195.20",,,,,,,
2021-01-05,XRP,0.2254,,,,,,,
2021-01-05,SOL,2.155,,,,,,,
2021-01-05,ETH,"1,099.52",,,,,,,
2021-01-05,BTC,"33,991.50",,,,,,,
2021-02-05,XRP,0.4518,,,,,,,
2021-02-05,SOL,6.5,,,,,,,
2021-02-05,ETH,"1,719.20",,,,,,,
2021-02-05,BTC,"38,297.60",,,,,,,
2021-03-05,XRP,0.455,,,,,,,
2021-03-05,SOL,12.572,,,,,,,
2021-03-05,ETH,"1,530.29",,,,,,,
2021-03-05,BTC,"48,792.50",,,,,,,
2021-04-05,XRP,0.9132,,,,,,,
2021-04-05,SOL,22.957,,,,,,,
2021-04-05,ETH,"2,106.41",,,,,,,
2021-04-05,BTC,"58,993.40",,,,,,,
2021-05-05,XRP,1.614,,,,,,,
2021-05-05,SOL,44.883,,,,,,,
2021-05-05,ETH,"3,522.76",,,,,,,
2021-05-05,BTC,"57,441.30",,,,,,,
2021-06-05,XRP,0.9227,,,,,,,
2021-06-05,SOL,39.559,,,,,,,
2021-06-05,ETH,"2,628.98",,,,,,,
2021-06-05,BTC,"35,520.00",,,,,,,
2021-07-05,XRP,0.653,,,,,,,
2021-07-05,SOL,32.966,,,,,,,
2021-07-05,ETH,"2,196.16",,,,,,,
2021-07-05,BTC,"33,687.80",,,,,,,
2021-08-05,XRP,0.7331,,,,,,,
2021-08-05,SOL,37.408,,,,,,,
2021-08-05,ETH,"2,827.21",,,,,,,
2021-08-05,BTC,"40,867.20",,,,,,,
2021-09-05,XRP,1.306,,,,,,,
2021-09-05,SOL,142.13,,,,,,,
2021-09-05,ETH,"3,950.62",,,,,,,
2021-09-05,BTC,"51,768.60",,,,,,,
2021-10-05,XRP,1.0848,,,,,,,
2021-10-05,SOL,164.619,,,,,,,
2021-10-05,ETH,"3,517.26",,,,,,,
2021-10-05,BTC,"51,469.30",,,,,,,
2021-11-05,XRP,1.1583,,,,,,,
2021-11-05,SOL,236.147,,,,,,,
2021-11-05,ETH,"4,475.00",,,,,,,
2021-11-05,BTC,"60,974.30",,,,,,,
2021-12-05,XRP,0.8041,,,,,,,
2021-12-05,SOL,196.444,,,,,,,
2021-12-05,ETH,"4,194.80",,,,,,,
2021-12-05,BTC,"49,405.50",,,,,,,
2021-01-06,XRP,0.2487,,,,,,,
2021-01-06,SOL,1.934,,,,,,,
2021-01-06,ETH,"1,207.77",,,,,,,
2021-01-06,BTC,"36,793.20",,,,,,,
2021-02-06,XRP,0.4427,,,,,,,
2021-02-06,SOL,6.12,,,,,,,
2021-02-06,ETH,"1,676.63",,,,,,,
2021-02-06,BTC,"39,256.60",,,,,,,
2021-03-06,XRP,0.463,,,,,,,
2021-03-06,SOL,12.924,,,,,,,
2021-03-06,ETH,"1,649.19",,,,,,,
2021-03-06,BTC,"48,855.60",,,,,,,
2021-04-06,XRP,1.0906,,,,,,,
2021-04-06,SOL,24.971,,,,,,,
2021-04-06,ETH,"2,111.53",,,,,,,
2021-04-06,BTC,"57,996.30",,,,,,,
2021-05-06,XRP,1.6029,,,,,,,
2021-05-06,SOL,43.446,,,,,,,
2021-05-06,ETH,"3,489.52",,,,,,,
2021-05-06,BTC,"56,405.40",,,,,,,
2021-06-06,XRP,0.9449,,,,,,,
2021-06-06,SOL,42.209,,,,,,,
2021-06-06,ETH,"2,713.66",,,,,,,
2021-06-06,BTC,"35,815.40",,,,,,,
2021-07-06,XRP,0.6648,,,,,,,
2021-07-06,SOL,33.643,,,,,,,
2021-07-06,ETH,"2,322.72",,,,,,,
2021-07-06,BTC,"34,225.60",,,,,,,
2021-08-06,XRP,0.7469,,,,,,,
2021-08-06,SOL,39.497,,,,,,,
2021-08-06,ETH,"2,889.43",,,,,,,
2021-08-06,BTC,"42,795.40",,,,,,,
2021-09-06,XRP,1.3898,,,,,,,
2021-09-06,SOL,164.17,,,,,,,
2021-09-06,ETH,"3,927.21",,,,,,,
2021-09-06,BTC,"52,672.10",,,,,,,
2021-10-06,XRP,1.0762,,,,,,,
2021-10-06,SOL,153.895,,,,,,,
2021-10-06,ETH,"3,575.41",,,,,,,
2021-10-06,BTC,"55,323.20",,,,,,,
2021-11-06,XRP,1.1512,,,,,,,
2021-11-06,SOL,258.477,,,,,,,
2021-11-06,ETH,"4,517.36",,,,,,,
2021-11-06,BTC,"61,483.90",,,,,,,
2021-12-06,XRP,0.8267,,,,,,,
2021-12-06,SOL,193.963,,,,,,,
2021-12-06,ETH,"4,353.31",,,,,,,
2021-12-06,BTC,"50,562.10",,,,,,,
2021-01-07,XRP,0.3235,,,,,,,
2021-01-07,SOL,2.359,,,,,,,
2021-01-07,ETH,"1,224.35",,,,,,,
2021-01-07,BTC,"39,460.20",,,,,,,
2021-02-07,XRP,0.4184,,,,,,,
2021-02-07,SOL,6.704,,,,,,,
2021-02-07,ETH,"1,612.99",,,,,,,
2021-02-07,BTC,"38,852.90",,,,,,,
2021-03-07,XRP,0.4653,,,,,,,
2021-03-07,SOL,13.791,,,,,,,
2021-03-07,ETH,"1,728.10",,,,,,,
2021-03-07,BTC,"50,982.30",,,,,,,
2021-04-07,XRP,0.9166,,,,,,,
2021-04-07,SOL,26.478,,,,,,,
2021-04-07,ETH,"1,961.46",,,,,,,
2021-04-07,BTC,"55,948.70",,,,,,,
2021-05-07,XRP,1.581,,,,,,,
2021-05-07,SOL,43.001,,,,,,,
2021-05-07,ETH,"3,481.22",,,,,,,
2021-05-07,BTC,"57,337.20",,,,,,,
2021-06-07,XRP,0.8634,,,,,,,
2021-06-07,SOL,38.272,,,,,,,
2021-06-07,ETH,"2,592.63",,,,,,,
2021-06-07,BTC,"33,578.00",,,,,,,
2021-07-07,XRP,0.6521,,,,,,,
2021-07-07,SOL,36.537,,,,,,,
2021-07-07,ETH,"2,316.57",,,,,,,
2021-07-07,BTC,"33,867.80",,,,,,,
2021-08-07,XRP,0.8167,,,,,,,
2021-08-07,SOL,39.426,,,,,,,
2021-08-07,ETH,"3,158.00",,,,,,,
2021-08-07,BTC,"44,614.20",,,,,,,
2021-09-07,XRP,1.1233,,,,,,,
2021-09-07,SOL,173.03,,,,,,,
2021-09-07,ETH,"3,423.12",,,,,,,
2021-09-07,BTC,"46,779.60",,,,,,,
2021-10-07,XRP,1.0665,,,,,,,
2021-10-07,SOL,154.209,,,,,,,
2021-10-07,ETH,"3,586.00",,,,,,,
2021-10-07,BTC,"53,783.90",,,,,,,
2021-11-07,XRP,1.2179,,,,,,,
2021-11-07,SOL,249.644,,,,,,,
2021-11-07,ETH,"4,612.06",,,,,,,
2021-11-07,BTC,"63,273.20",,,,,,,
2021-12-07,XRP,0.8154,,,,,,,
2021-12-07,SOL,190.236,,,,,,,
2021-12-07,ETH,"4,307.08",,,,,,,
2021-12-07,BTC,"50,595.20",,,,,,,
2021-01-08,XRP,0.3208,,,,,,,
2021-01-08,SOL,3.889,,,,,,,
2021-01-08,ETH,"1,215.73",,,,,,,
2021-01-08,BTC,"40,599.30",,,,,,,
2021-02-08,XRP,0.4508,,,,,,,
2021-02-08,SOL,7.879,,,,,,,
2021-02-08,ETH,"1,750.18",,,,,,,
2021-02-08,BTC,"46,395.70",,,,,,,
2021-03-08,XRP,0.4736,,,,,,,
2021-03-08,SOL,13.598,,,,,,,
2021-03-08,ETH,"1,831.49",,,,,,,
2021-03-08,BTC,"52,311.00",,,,,,,
2021-04-08,XRP,1.0578,,,,,,,
2021-04-08,SOL,27.723,,,,,,,
2021-04-08,ETH,"2,079.92",,,,,,,
2021-04-08,BTC,"58,077.40",,,,,,,
2021-05-08,XRP,1.5624,,,,,,,
2021-05-08,SOL,45.674,,,,,,,
2021-05-08,ETH,"3,905.55",,,,,,,
2021-05-08,BTC,"58,840.10",,,,,,,
2021-06-08,XRP,0.8739,,,,,,,
2021-06-08,SOL,41.34,,,,,,,
2021-06-08,ETH,"2,510.65",,,,,,,
2021-06-08,BTC,"33,382.90",,,,,,,
2021-07-08,XRP,0.6231,,,,,,,
2021-07-08,SOL,32.902,,,,,,,
2021-07-08,ETH,"2,120.22",,,,,,,
2021-07-08,BTC,"32,866.30",,,,,,,
2021-08-08,XRP,0.7791,,,,,,,
2021-08-08,SOL,37.668,,,,,,,
2021-08-08,ETH,"3,012.07",,,,,,,
2021-08-08,BTC,"43,792.80",,,,,,,
2021-09-08,XRP,1.099,,,,,,,
2021-09-08,SOL,190.69,,,,,,,
2021-09-08,ETH,"3,495.10",,,,,,,
2021-09-08,BTC,"46,061.40",,,,,,,
2021-10-08,XRP,1.0619,,,,,,,
2021-10-08,SOL,158.589,,,,,,,
2021-10-08,ETH,"3,559.42",,,,,,,
2021-10-08,BTC,"53,914.70",,,,,,,
2021-11-08,XRP,1.2818,,,,,,,
2021-11-08,SOL,248.419,,,,,,,
2021-11-08,ETH,"4,808.38",,,,,,,
2021-11-08,BTC,"67,527.90",,,,,,,
2021-12-08,XRP,0.8615,,,,,,,
2021-12-08,SOL,194.596,,,,,,,
2021-12-08,ETH,"4,435.74",,,,,,,
2021-12-08,BTC,"50,473.90",,,,,,,
2021-01-09,XRP,0.3243,,,,,,,
2021-01-09,SOL,3,,,,,,,
2021-01-09,ETH,"1,275.58",,,,,,,
2021-01-09,BTC,"40,151.90",,,,,,,
2021-02-09,XRP,0.4764,,,,,,,
2021-02-09,SOL,7.836,,,,,,,
2021-02-09,ETH,"1,770.63",,,,,,,
2021-02-09,BTC,"46,508.60",,,,,,,
2021-03-09,XRP,0.485,,,,,,,
2021-03-09,SOL,14.86,,,,,,,
2021-03-09,ETH,"1,869.10",,,,,,,
2021-03-09,BTC,"54,879.00",,,,,,,
2021-04-09,XRP,1.0192,,,,,,,
2021-04-09,ETH,"2,066.93",,,,,,,
2021-04-09,BTC,"58,118.70",,,,,,,
2021-05-09,XRP,1.5345,,,,,,,
2021-05-09,SOL,44.304,,,,,,,
2021-05-09,ETH,"3,922.23",,,,,,,
2021-05-09,BTC,"58,238.30",,,,,,,
2021-06-09,XRP,0.9197,,,,,,,
2021-06-09,SOL,42.041,,,,,,,
2021-06-09,ETH,"2,606.23",,,,,,,
2021-06-09,BTC,"37,332.20",,,,,,,
2021-07-09,XRP,0.6371,,,,,,,
2021-07-09,SOL,33.364,,,,,,,
2021-07-09,ETH,"2,145.89",,,,,,,
2021-07-09,BTC,"33,797.40",,,,,,,
2021-08-09,XRP,0.8172,,,,,,,
2021-08-09,SOL,38.722,,,,,,,
2021-08-09,ETH,"3,162.93",,,,,,,
2021-08-09,BTC,"46,284.30",,,,,,,
2021-09-09,XRP,1.0867,,,,,,,
2021-09-09,SOL,192.1,,,,,,,
2021-09-09,ETH,"3,423.51",,,,,,,
2021-09-09,BTC,"46,385.60",,,,,,,
2021-10-09,XRP,1.1594,,,,,,,
2021-10-09,SOL,156.755,,,,,,,
2021-10-09,ETH,"3,574.20",,,,,,,
2021-10-09,BTC,"54,942.50",,,,,,,
2021-11-09,XRP,1.2561,,,,,,,
2021-11-09,SOL,239.027,,,,,,,
2021-11-09,ETH,"4,731.83",,,,,,,
2021-11-09,BTC,"66,904.40",,,,,,,
2021-12-09,XRP,0.8581,,,,,,,
2021-12-09,SOL,181.363,,,,,,,
2021-12-09,ETH,"4,107.69",,,,,,,
2021-12-09,BTC,"47,596.60",,,,,,,
2021-01-10,XRP,0.3152,,,,,,,
2021-01-10,SOL,3.053,,,,,,,
2021-01-10,ETH,"1,256.04",,,,,,,
2021-01-10,BTC,"38,192.20",,,,,,,
2021-02-10,XRP,0.5047,,,,,,,
2021-02-10,SOL,8.95,,,,,,,
2021-02-10,ETH,"1,742.09",,,,,,,
2021-02-10,BTC,"44,836.00",,,,,,,
2021-03-10,XRP,0.4616,,,,,,,
2021-03-10,SOL,14.235,,,,,,,
2021-03-10,ETH,"1,794.14",,,,,,,
2021-03-10,BTC,"55,851.90",,,,,,,
2021-04-10,XRP,1.3743,,,,,,,
2021-04-10,SOL,26.79,,,,,,,
2021-04-10,ETH,"2,133.79",,,,,,,
2021-04-10,BTC,"59,748.40",,,,,,,
2021-05-10,XRP,1.391,,,,,,,
2021-05-10,SOL,42.829,,,,,,,
2021-05-10,ETH,"3,947.90",,,,,,,
2021-05-10,BTC,"55,848.90",,,,,,,
2021-06-10,XRP,0.8684,,,,,,,
2021-06-10,SOL,41.124,,,,,,,
2021-06-10,ETH,"2,469.97",,,,,,,
2021-06-10,BTC,"36,649.40",,,,,,,
2021-07-10,XRP,0.6251,,,,,,,
2021-07-10,SOL,31.73,,,,,,,
2021-07-10,ETH,"2,111.12",,,,,,,
2021-07-10,BTC,"33,510.60",,,,,,,
2021-08-10,XRP,0.8513,,,,,,,
2021-08-10,SOL,40.596,,,,,,,
2021-08-10,ETH,"3,140.71",,,,,,,
2021-08-10,BTC,"45,593.80",,,,,,,
2021-09-10,XRP,1.0548,,,,,,,
2021-09-10,SOL,179.15,,,,,,,
2021-09-10,ETH,"3,207.27",,,,,,,
2021-09-10,BTC,"44,842.80",,,,,,,
2021-10-10,XRP,1.1358,,,,,,,
2021-10-10,SOL,147.738,,,,,,,
